theorem	proof_outcome	axioms	evidence
CardanoKeri.Checkpoint.T12_convict_parked_exact	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T12_convicted_terminal	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T14_pool_decreases_only_by_premium	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T14_pool_decreases_only_by_premium._proof_1_13	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T14_pool_increases_only_by_topup	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T14_pool_increases_only_by_topup._proof_1_1	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T14_pool_increases_only_by_topup._proof_1_2	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T14_pool_increases_only_by_topup._proof_1_3	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T15_b_leaves_only_by_freeze	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T15_b_returns_only_by_deposit	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T15_freeze_makes_inert	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T16_close_destination	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T16_close_destination._proof_1_6	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T16_close_needs_rotation	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T16_copied_reap_refused	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T16_parked_hash_is_the_closed_checkpoints	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T16_parked_hash_is_the_closed_checkpoints._proof_1_7	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T16_payments_are_named	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T1_close_rotation_cannot_revive	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T1_reopen_strict	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T1_rotate_strict	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T1_sn_monotone	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T1_sn_monotone_all	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T1_sn_monotone_all._proof_1_6	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T1_sn_monotone_all._proof_1_7	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T1_trace_sn_monotone	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T2_close_and_reopen_open_epochs	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T2_epoch_only_by_rotation	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T3_epoch_local	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T3_only_poison_sets	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T3_only_rotation_clears	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T3_rotation_clears	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T4_current_key_thief_cannot_park	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T4_current_key_thief_cannot_revive	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T4_current_quorum_only_poisons	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T4_poisoned_blocks_quorum_and_freeze	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T4_poisoned_nonrotation_inert	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T5_close_enabled	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_convict_enabled	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_convict_parked_enabled	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_deposit_on_full_is_keep	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T5_deposit_on_full_is_keep._proof_1_4	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T5_every_bond_option	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_freeze_enabled	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_keep_is_rotated	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T5_keep_needs_no_intent	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_poison_enabled	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T5_reopen_enabled	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T6_component_conservation	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T6_dreg_enters_only_at_birth	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T6_dreg_never_a_fee	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T6_dreg_never_moves_between_present_states	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T6_frozen_flips_only_by_rotation_or_freeze	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T6_intent_requires_new_keys	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T6_refund_change_requires_new_keys	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T6_relayer_cannot_park_age_or_close	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T7_step_iff_stepFn	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T7_trace_iff_replay	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T8_absent_only_registers	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T8_edges_leave_the_leaf	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T8_leaf_agrees_with_state	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T8_leaf_never_absent_again	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T8_leaf_states	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T8_mint_once	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T8_only_convicted_is_terminal	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T8_parked_only_revives_or_convicts	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T8_parked_returns_only_by_revival	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T8_present_implies_registered	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T8_reopen_actor_is_proof	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T8_sysstep_partition	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T8_utxo_iff_active	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T9_juvenility_is_consumer_only	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Trace.brecOn	PROVED	none	axioms.log
CardanoKeri.Checkpoint.consumableState.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.consumableState.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.consumableStateB.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.consumableStateB.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.consumableStateB_iff	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.consumableStateB_iff._simp_1_6	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.instDecidableEqActor._proof_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqActor._proof_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqBondOp._proof_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqBondOp._proof_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqFlow.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqIntent.decEq._proof_1	PROVED	none	axioms.log
